canonical_id,name,definition,value,unit,year,source,appendix_or_section,notes
CP-CLIN-005,Specialist in-person consult cost,Cost per completed in-person specialist visit,,,,,"Cost Parameter Dictionary > CP-CLIN: Physician, Specialist, and Clinical Service Parameters",
CP-CLIN-006,Specialist e-consult cost,Cost per specialist e-consult,,,,,"Cost Parameter Dictionary > CP-CLIN: Physician, Specialist, and Clinical Service Parameters",
CP-CLIN-007,Tele-specialist visit cost,Cost per tele-specialist visit,,,,,"Cost Parameter Dictionary > CP-CLIN: Physician, Specialist, and Clinical Service Parameters",
CP-CLIN-008,Specialist protected-slot cost,Annual cost of urgent/e-consult reserved capacity,,,,,"Cost Parameter Dictionary > CP-CLIN: Physician, Specialist, and Clinical Service Parameters",
CP-CLIN-009,Specialist-routing infrastructure cost,"Cost of referral platform, triage staff, and capacity ledger",,,,,"Cost Parameter Dictionary > CP-CLIN: Physician, Specialist, and Clinical Service Parameters",
CP-CLIN-010,Specialist avoidable-visit savings,Savings from e-consult and first-line workups replacing in-person visits,,,,,"Cost Parameter Dictionary > CP-CLIN: Physician, Specialist, and Clinical Service Parameters",
CP-CLIN-011,Clinical productivity factor,Encounters safely closed per clinician-hour relative to baseline,,,,,"Cost Parameter Dictionary > CP-CLIN: Physician, Specialist, and Clinical Service Parameters",
CP-CLIN-012,Specialty bottleneck cost premium,Incremental cost caused by specialty shortages,,,,,"Cost Parameter Dictionary > CP-CLIN: Physician, Specialist, and Clinical Service Parameters",
CP-CLIN-013,Rural clinician premium,Incremental compensation required to staff rural areas,,,,,"Cost Parameter Dictionary > CP-CLIN: Physician, Specialist, and Clinical Service Parameters",
CP-CLIN-014,Clinician burnout turnover cost,"Replacement, vacancy, productivity, and training cost from burnout",,,,,"Cost Parameter Dictionary > CP-CLIN: Physician, Specialist, and Clinical Service Parameters",
CP-CLIN-015,Malpractice/injury compensation cost,Cost of patient injury compensation or system liability program,,,,,"Cost Parameter Dictionary > CP-CLIN: Physician, Specialist, and Clinical Service Parameters",
CP-UNIT-001,Type A unit count,,,,,,Cost Parameter Dictionary > CP-UNIT: Four-Unit Diagnostic-Treatment Network Parameters,
CP-UNIT-002,Type B unit count,,,,,,Cost Parameter Dictionary > CP-UNIT: Four-Unit Diagnostic-Treatment Network Parameters,
CP-UNIT-003,Type C unit count,,,,,,Cost Parameter Dictionary > CP-UNIT: Four-Unit Diagnostic-Treatment Network Parameters,
CP-UNIT-004,Type D unit count,,,,,,Cost Parameter Dictionary > CP-UNIT: Four-Unit Diagnostic-Treatment Network Parameters,
CP-UNIT-005,Type A fixed annual cost,,,,,,Cost Parameter Dictionary > CP-UNIT: Four-Unit Diagnostic-Treatment Network Parameters,
CP-UNIT-006,Type B fixed annual cost,,,,,,Cost Parameter Dictionary > CP-UNIT: Four-Unit Diagnostic-Treatment Network Parameters,
CP-UNIT-007,Type C fixed annual cost,,,,,,Cost Parameter Dictionary > CP-UNIT: Four-Unit Diagnostic-Treatment Network Parameters,
CP-UNIT-008,Type D fixed annual cost,,,,,,Cost Parameter Dictionary > CP-UNIT: Four-Unit Diagnostic-Treatment Network Parameters,
CP-UNIT-009,Type A capital cost,,,,,,Cost Parameter Dictionary > CP-UNIT: Four-Unit Diagnostic-Treatment Network Parameters,
CP-UNIT-010,Type B capital cost,,,,,,Cost Parameter Dictionary > CP-UNIT: Four-Unit Diagnostic-Treatment Network Parameters,
CP-UNIT-011,Type C capital cost,,,,,,Cost Parameter Dictionary > CP-UNIT: Four-Unit Diagnostic-Treatment Network Parameters,
CP-UNIT-012,Type D capital cost,,,,,,Cost Parameter Dictionary > CP-UNIT: Four-Unit Diagnostic-Treatment Network Parameters,
CP-UNIT-013,Unit visit volume by type,,,,,,Cost Parameter Dictionary > CP-UNIT: Four-Unit Diagnostic-Treatment Network Parameters,
CP-UNIT-014,Unit variable cost per visit,,,,,,Cost Parameter Dictionary > CP-UNIT: Four-Unit Diagnostic-Treatment Network Parameters,
CP-UNIT-015,Unit diagnostic cost per encounter,,,,,,Cost Parameter Dictionary > CP-UNIT: Four-Unit Diagnostic-Treatment Network Parameters,
CP-UNIT-016,Unit follow-up cost per abnormal result,,,,,,Cost Parameter Dictionary > CP-UNIT: Four-Unit Diagnostic-Treatment Network Parameters,
CP-UNIT-017,Unit AI operating cost,,,,,,Cost Parameter Dictionary > CP-UNIT: Four-Unit Diagnostic-Treatment Network Parameters,
CP-UNIT-018,Unit staffing cost,,,,,,Cost Parameter Dictionary > CP-UNIT: Four-Unit Diagnostic-Treatment Network Parameters,
CP-UNIT-019,Unit avoided ED savings,,,,,,Cost Parameter Dictionary > CP-UNIT: Four-Unit Diagnostic-Treatment Network Parameters,
CP-UNIT-020,Unit avoided specialist savings,,,,,,Cost Parameter Dictionary > CP-UNIT: Four-Unit Diagnostic-Treatment Network Parameters,
CP-UNIT-021,Unit-induced demand cost,,,,,,Cost Parameter Dictionary > CP-UNIT: Four-Unit Diagnostic-Treatment Network Parameters,
CP-UNIT-022,Unit unsafe under-referral harm cost,,,,,,Cost Parameter Dictionary > CP-UNIT: Four-Unit Diagnostic-Treatment Network Parameters,
CP-UNIT-023,Unit bounce-back cost,,,,,,Cost Parameter Dictionary > CP-UNIT: Four-Unit Diagnostic-Treatment Network Parameters,
CP-UNIT-024,Unit public-health surge cost,,,,,,Cost Parameter Dictionary > CP-UNIT: Four-Unit Diagnostic-Treatment Network Parameters,
CP-LTC-001,LTC eligible population,,,,,,"Cost Parameter Dictionary > CP-LTC: Long-Term Care, Home Care, Disability, and Caregiver Parameters",
CP-LTC-002,LTC assessment cost,,,,,,"Cost Parameter Dictionary > CP-LTC: Long-Term Care, Home Care, Disability, and Caregiver Parameters",
CP-LTC-003,Home-care hours authorized,,,,,,"Cost Parameter Dictionary > CP-LTC: Long-Term Care, Home Care, Disability, and Caregiver Parameters",
CP-LTC-004,Home-care cost per hour,,,,,,"Cost Parameter Dictionary > CP-LTC: Long-Term Care, Home Care, Disability, and Caregiver Parameters",
CP-LTC-005,Institutional LTC cost per resident-day,,,,,,"Cost Parameter Dictionary > CP-LTC: Long-Term Care, Home Care, Disability, and Caregiver Parameters",
CP-LTC-006,Home-first substitution rate,,,,,,"Cost Parameter Dictionary > CP-LTC: Long-Term Care, Home Care, Disability, and Caregiver Parameters",
CP-LTC-007,Caregiver support cost,,,,,,"Cost Parameter Dictionary > CP-LTC: Long-Term Care, Home Care, Disability, and Caregiver Parameters",
CP-LTC-008,DME and home modification cost,,,,,,"Cost Parameter Dictionary > CP-LTC: Long-Term Care, Home Care, Disability, and Caregiver Parameters",
CP-LTC-009,LTC workforce premium,,,,,,"Cost Parameter Dictionary > CP-LTC: Long-Term Care, Home Care, Disability, and Caregiver Parameters",
CP-LTC-010,LTC appeal adjustment cost,,,,,,"Cost Parameter Dictionary > CP-LTC: Long-Term Care, Home Care, Disability, and Caregiver Parameters",
CP-LTC-011,Avoided institutionalization savings,,,,,,"Cost Parameter Dictionary > CP-LTC: Long-Term Care, Home Care, Disability, and Caregiver Parameters",
CP-LTC-012,LTC safety failure cost,,,,,,"Cost Parameter Dictionary > CP-LTC: Long-Term Care, Home Care, Disability, and Caregiver Parameters",
CP-RX-001,Prescription fill volume,,,,,,"Cost Parameter Dictionary > CP-RX: Drugs, Pharmacy, Public Manufacturing, and Supply Chain Parameters",
CP-RX-002,Weighted average net drug unit cost,,,,,,"Cost Parameter Dictionary > CP-RX: Drugs, Pharmacy, Public Manufacturing, and Supply Chain Parameters",
CP-RX-003,Essential formulary fill share,,,,,,"Cost Parameter Dictionary > CP-RX: Drugs, Pharmacy, Public Manufacturing, and Supply Chain Parameters",
CP-RX-004,Specialty drug cost,,,,,,"Cost Parameter Dictionary > CP-RX: Drugs, Pharmacy, Public Manufacturing, and Supply Chain Parameters",
CP-RX-005,Public manufacturing fixed cost,,,,,,"Cost Parameter Dictionary > CP-RX: Drugs, Pharmacy, Public Manufacturing, and Supply Chain Parameters",
CP-RX-006,Public manufacturing variable cost,,,,,,"Cost Parameter Dictionary > CP-RX: Drugs, Pharmacy, Public Manufacturing, and Supply Chain Parameters",
CP-RX-007,Public manufacturing capital amortization,,,,,,"Cost Parameter Dictionary > CP-RX: Drugs, Pharmacy, Public Manufacturing, and Supply Chain Parameters",
CP-RX-008,Strategic stockpile carrying cost,,,,,,"Cost Parameter Dictionary > CP-RX: Drugs, Pharmacy, Public Manufacturing, and Supply Chain Parameters",
CP-RX-009,Drug shortage emergency procurement cost,,,,,,"Cost Parameter Dictionary > CP-RX: Drugs, Pharmacy, Public Manufacturing, and Supply Chain Parameters",
CP-RX-010,PBM displacement savings,,,,,,"Cost Parameter Dictionary > CP-RX: Drugs, Pharmacy, Public Manufacturing, and Supply Chain Parameters",
CP-RX-011,Therapeutic substitution savings,,,,,,"Cost Parameter Dictionary > CP-RX: Drugs, Pharmacy, Public Manufacturing, and Supply Chain Parameters",
CP-RX-012,Adherence-induced drug cost,,,,,,"Cost Parameter Dictionary > CP-RX: Drugs, Pharmacy, Public Manufacturing, and Supply Chain Parameters",
CP-RX-013,Adherence avoided-complication savings,,,,,,"Cost Parameter Dictionary > CP-RX: Drugs, Pharmacy, Public Manufacturing, and Supply Chain Parameters",
CP-RX-014,Formulary exception cost,,,,,,"Cost Parameter Dictionary > CP-RX: Drugs, Pharmacy, Public Manufacturing, and Supply Chain Parameters",
CP-RX-015,Drug quality failure cost,,,,,,"Cost Parameter Dictionary > CP-RX: Drugs, Pharmacy, Public Manufacturing, and Supply Chain Parameters",
CP-DX-001,Lab test volume,,,,,,"Cost Parameter Dictionary > CP-DX: Devices, Labs, Diagnostics, Imaging, and Supplies Parameters",
CP-DX-002,Average lab test cost,,,,,,"Cost Parameter Dictionary > CP-DX: Devices, Labs, Diagnostics, Imaging, and Supplies Parameters",
CP-DX-003,Point-of-care test volume,,,,,,"Cost Parameter Dictionary > CP-DX: Devices, Labs, Diagnostics, Imaging, and Supplies Parameters",
CP-DX-004,Point-of-care test cost,,,,,,"Cost Parameter Dictionary > CP-DX: Devices, Labs, Diagnostics, Imaging, and Supplies Parameters",
CP-DX-005,Imaging volume by modality,,,,,,"Cost Parameter Dictionary > CP-DX: Devices, Labs, Diagnostics, Imaging, and Supplies Parameters",
CP-DX-006,Imaging cost by modality,,,,,,"Cost Parameter Dictionary > CP-DX: Devices, Labs, Diagnostics, Imaging, and Supplies Parameters",
CP-DX-007,Diagnostic-first pathway cost,,,,,,"Cost Parameter Dictionary > CP-DX: Devices, Labs, Diagnostics, Imaging, and Supplies Parameters",
CP-DX-008,Duplicate testing rate,,,,,,"Cost Parameter Dictionary > CP-DX: Devices, Labs, Diagnostics, Imaging, and Supplies Parameters",
CP-DX-009,Duplicate testing savings,,,,,,"Cost Parameter Dictionary > CP-DX: Devices, Labs, Diagnostics, Imaging, and Supplies Parameters",
CP-DX-010,Medical device purchase cost,,,,,,"Cost Parameter Dictionary > CP-DX: Devices, Labs, Diagnostics, Imaging, and Supplies Parameters",
CP-DX-011,DME/supply cost,,,,,,"Cost Parameter Dictionary > CP-DX: Devices, Labs, Diagnostics, Imaging, and Supplies Parameters",
CP-DX-012,Device price reduction savings,,,,,,"Cost Parameter Dictionary > CP-DX: Devices, Labs, Diagnostics, Imaging, and Supplies Parameters",
CP-DX-013,Diagnostic overuse cost,,,,,,"Cost Parameter Dictionary > CP-DX: Devices, Labs, Diagnostics, Imaging, and Supplies Parameters",
CP-DX-014,Missed-diagnosis cost,,,,,,"Cost Parameter Dictionary > CP-DX: Devices, Labs, Diagnostics, Imaging, and Supplies Parameters",
CP-DX-015,Diagnostic workforce cost,,,,,,"Cost Parameter Dictionary > CP-DX: Devices, Labs, Diagnostics, Imaging, and Supplies Parameters",
CP-BH-001,Behavioral health eligible demand,,,,,,Cost Parameter Dictionary > CP-BH: Behavioral Health and Substance-Use Disorder Parameters,
CP-BH-002,First-contact cost,,,,,,Cost Parameter Dictionary > CP-BH: Behavioral Health and Substance-Use Disorder Parameters,
CP-BH-003,Therapy session volume,,,,,,Cost Parameter Dictionary > CP-BH: Behavioral Health and Substance-Use Disorder Parameters,
CP-BH-004,Therapy session cost,,,,,,Cost Parameter Dictionary > CP-BH: Behavioral Health and Substance-Use Disorder Parameters,
CP-BH-005,Psychiatry e-consult cost,,,,,,Cost Parameter Dictionary > CP-BH: Behavioral Health and Substance-Use Disorder Parameters,
CP-BH-006,Psychiatry visit cost,,,,,,Cost Parameter Dictionary > CP-BH: Behavioral Health and Substance-Use Disorder Parameters,
CP-BH-007,Crisis response event volume,,,,,,Cost Parameter Dictionary > CP-BH: Behavioral Health and Substance-Use Disorder Parameters,
CP-BH-008,Crisis response cost,,,,,,Cost Parameter Dictionary > CP-BH: Behavioral Health and Substance-Use Disorder Parameters,
CP-BH-009,SUD treatment episode cost,,,,,,Cost Parameter Dictionary > CP-BH: Behavioral Health and Substance-Use Disorder Parameters,
CP-BH-010,Medication-assisted treatment cost,,,,,,Cost Parameter Dictionary > CP-BH: Behavioral Health and Substance-Use Disorder Parameters,
CP-BH-011,Behavioral health unmet-demand release factor,,,,,,Cost Parameter Dictionary > CP-BH: Behavioral Health and Substance-Use Disorder Parameters,
CP-BH-012,Behavioral health avoided ED/hospital savings,,,,,,Cost Parameter Dictionary > CP-BH: Behavioral Health and Substance-Use Disorder Parameters,
CP-BH-013,Behavioral health workforce premium,,,,,,Cost Parameter Dictionary > CP-BH: Behavioral Health and Substance-Use Disorder Parameters,
CP-BH-014,Privacy segmentation operating cost,,,,,,Cost Parameter Dictionary > CP-BH: Behavioral Health and Substance-Use Disorder Parameters,
CP-BH-015,Behavioral health safety failure cost,,,,,,Cost Parameter Dictionary > CP-BH: Behavioral Health and Substance-Use Disorder Parameters,
CP-DVH-001,Basic dental visit volume,,,,,,"Cost Parameter Dictionary > CP-DVH: Dental, Vision, and Hearing Parameters",
CP-DVH-002,Basic dental visit cost,,,,,,"Cost Parameter Dictionary > CP-DVH: Dental, Vision, and Hearing Parameters",
CP-DVH-003,Advanced dental procedure volume,,,,,,"Cost Parameter Dictionary > CP-DVH: Dental, Vision, and Hearing Parameters",
CP-DVH-004,Advanced dental procedure cost,,,,,,"Cost Parameter Dictionary > CP-DVH: Dental, Vision, and Hearing Parameters",
CP-DVH-005,Vision exam volume,,,,,,"Cost Parameter Dictionary > CP-DVH: Dental, Vision, and Hearing Parameters",
CP-DVH-006,Vision exam cost,,,,,,"Cost Parameter Dictionary > CP-DVH: Dental, Vision, and Hearing Parameters",
CP-DVH-007,Standard eyewear/device cost,,,,,,"Cost Parameter Dictionary > CP-DVH: Dental, Vision, and Hearing Parameters",
CP-DVH-008,Hearing exam volume,,,,,,"Cost Parameter Dictionary > CP-DVH: Dental, Vision, and Hearing Parameters",
CP-DVH-009,Hearing exam cost,,,,,,"Cost Parameter Dictionary > CP-DVH: Dental, Vision, and Hearing Parameters",
CP-DVH-010,Hearing device cost,,,,,,"Cost Parameter Dictionary > CP-DVH: Dental, Vision, and Hearing Parameters",
CP-DVH-011,DVH workforce cost,,,,,,"Cost Parameter Dictionary > CP-DVH: Dental, Vision, and Hearing Parameters",
CP-DVH-012,DVH unmet-demand release factor,,,,,,"Cost Parameter Dictionary > CP-DVH: Dental, Vision, and Hearing Parameters",
CP-DVH-013,Preventable medical savings from DVH care,,,,,,"Cost Parameter Dictionary > CP-DVH: Dental, Vision, and Hearing Parameters",
CP-DVH-014,DVH device procurement savings,,,,,,"Cost Parameter Dictionary > CP-DVH: Dental, Vision, and Hearing Parameters",
CP-DVH-015,DVH access expansion capital cost,,,,,,"Cost Parameter Dictionary > CP-DVH: Dental, Vision, and Hearing Parameters",
CP-EMS-001,EMS readiness cost,,,,,,"Cost Parameter Dictionary > CP-EMS: EMS, Ambulance, Medical Transport, and Rural Escalation Parameters",
CP-EMS-002,EMS response volume,,,,,,"Cost Parameter Dictionary > CP-EMS: EMS, Ambulance, Medical Transport, and Rural Escalation Parameters",
CP-EMS-003,EMS response cost,,,,,,"Cost Parameter Dictionary > CP-EMS: EMS, Ambulance, Medical Transport, and Rural Escalation Parameters",
CP-EMS-004,Medical transport trip volume,,,,,,"Cost Parameter Dictionary > CP-EMS: EMS, Ambulance, Medical Transport, and Rural Escalation Parameters",
CP-EMS-005,Medical transport trip cost,,,,,,"Cost Parameter Dictionary > CP-EMS: EMS, Ambulance, Medical Transport, and Rural Escalation Parameters",
CP-EMS-006,Air ambulance event volume,,,,,,"Cost Parameter Dictionary > CP-EMS: EMS, Ambulance, Medical Transport, and Rural Escalation Parameters",
CP-EMS-007,Air ambulance event cost,,,,,,"Cost Parameter Dictionary > CP-EMS: EMS, Ambulance, Medical Transport, and Rural Escalation Parameters",
CP-EMS-008,Treat-and-release cost,,,,,,"Cost Parameter Dictionary > CP-EMS: EMS, Ambulance, Medical Transport, and Rural Escalation Parameters",
CP-EMS-009,Avoided transport savings,,,,,,"Cost Parameter Dictionary > CP-EMS: EMS, Ambulance, Medical Transport, and Rural Escalation Parameters",
CP-EMS-010,Rural escalation premium,,,,,,"Cost Parameter Dictionary > CP-EMS: EMS, Ambulance, Medical Transport, and Rural Escalation Parameters",
CP-EMS-011,Disaster/surge EMS cost,,,,,,"Cost Parameter Dictionary > CP-EMS: EMS, Ambulance, Medical Transport, and Rural Escalation Parameters",
CP-EMS-012,EMS-unit interface cost,,,,,,"Cost Parameter Dictionary > CP-EMS: EMS, Ambulance, Medical Transport, and Rural Escalation Parameters",
CP-PH-001,Public health base operating cost,,,,,,"Cost Parameter Dictionary > CP-PH: Public Health, Prevention, and Clinically Linked Social Support Parameters",
CP-PH-002,Vaccination campaign cost,,,,,,"Cost Parameter Dictionary > CP-PH: Public Health, Prevention, and Clinically Linked Social Support Parameters",
CP-PH-003,Screening program cost,,,,,,"Cost Parameter Dictionary > CP-PH: Public Health, Prevention, and Clinically Linked Social Support Parameters",
CP-PH-004,Prevention outreach cost,,,,,,"Cost Parameter Dictionary > CP-PH: Public Health, Prevention, and Clinically Linked Social Support Parameters",
CP-PH-005,Public-health unit surge cost,,,,,,"Cost Parameter Dictionary > CP-PH: Public Health, Prevention, and Clinically Linked Social Support Parameters",
CP-PH-006,Surveillance infrastructure cost,,,,,,"Cost Parameter Dictionary > CP-PH: Public Health, Prevention, and Clinically Linked Social Support Parameters",
CP-PH-007,Clinically linked nutrition support cost,,,,,,"Cost Parameter Dictionary > CP-PH: Public Health, Prevention, and Clinically Linked Social Support Parameters",
CP-PH-008,Clinically linked housing modification/support cost,,,,,,"Cost Parameter Dictionary > CP-PH: Public Health, Prevention, and Clinically Linked Social Support Parameters",
CP-PH-009,Heat/cooling medical support cost,,,,,,"Cost Parameter Dictionary > CP-PH: Public Health, Prevention, and Clinically Linked Social Support Parameters",
CP-PH-010,Prevention avoided-cost savings,,,,,,"Cost Parameter Dictionary > CP-PH: Public Health, Prevention, and Clinically Linked Social Support Parameters",
CP-PH-011,Public health emergency response cost,,,,,,"Cost Parameter Dictionary > CP-PH: Public Health, Prevention, and Clinically Linked Social Support Parameters",
CP-PH-012,Public health data integration cost,,,,,,"Cost Parameter Dictionary > CP-PH: Public Health, Prevention, and Clinically Linked Social Support Parameters",
CP-IT-001,National identity infrastructure cost,,,,,,"Cost Parameter Dictionary > CP-IT: Records, Information Mesh, Cybersecurity, AI Infrastructure, and Digital Operations Parameters",
